ticker,sector,source,sections_found,call_date,event_date,ew_risk_score,hedge_density,neg_sentiment,backward_ratio,sentiment_trajectory,actual_1d,actual_3d,actual_5d,signal,correct_1d,correct_3d,correct_5d
MSFT,Technology,edgar,False,2025-04-30,2025-04-30,26.84,0.3667,0.037,0.619,0.2242,0.003096,0.104659,0.09966,NEUTRAL,,,
MSFT,Technology,edgar,False,2025-07-30,2025-07-30,27.27,0.2364,0.037,0.7059,0.2538,0.001307,0.022514,0.029616,NEUTRAL,,,
MSFT,Technology,edgar,False,2025-10-29,2025-10-29,37.74,0.2662,0.0811,0.8,0.2039,-0.000959,-0.044754,-0.051174,NEUTRAL,,,
MSFT,Technology,edgar,False,2026-01-28,2026-01-28,39.23,0.3466,0.0769,0.8462,0.2032,0.002185,-0.104644,-0.144346,NEUTRAL,,,
NKE,Consumer,motleyfool,True,2023-12-21,2023-12-21,33.74,0.7233,0.0897,0.3361,0.1925,0.009059,-0.110434,-0.103846,NEUTRAL,,,
NKE,Consumer,motleyfool,True,2024-03-21,2024-03-21,30.05,0.6817,0.0637,0.3927,0.1377,0.005485,-0.065024,-0.061235,NEUTRAL,,,
NKE,Consumer,motleyfool,True,2024-06-27,2024-06-27,42.17,0.8887,0.1142,0.4133,0.1822,0.001382,-0.183181,-0.200085,NEUTRAL,,,
NKE,Consumer,motleyfool,True,2024-10-01,2024-10-01,52.91,1.0612,0.1657,0.3907,0.0652,0.008258,-0.071267,-0.085634,NEGATIVE,False,True,True
NKE,Consumer,edgar,False,2025-06-25,2025-06-25,16.67,0.0,0.0,0.6667,0.1447,-0.009606,0.172908,0.195213,POSITIVE,False,True,True
NKE,Consumer,edgar,False,2025-06-26,2025-06-26,68.0,0.9034,0.321,0.8382,0.0962,0.028111,0.167845,0.255795,NEGATIVE,False,False,False
NKE,Consumer,edgar,False,2025-09-30,2025-09-30,64.28,0.6883,0.2174,0.8043,0.0919,0.002588,0.072178,0.023293,NEGATIVE,False,False,False
NKE,Consumer,edgar,False,2025-12-02,2025-12-02,2.5,0.0,0.0,0.1,0.0061,-0.007035,0.004588,-0.028292,POSITIVE,False,True,False
NKE,Consumer,edgar,False,2025-12-18,2025-12-18,62.47,0.6543,0.1915,0.8095,0.218,-0.000913,-0.128939,-0.086619,NEGATIVE,True,True,True
NKE,Consumer,edgar,False,2026-03-31,2026-03-31,63.48,0.6363,0.2292,0.8,0.1527,0.030835,-0.137588,,NEGATIVE,False,True,False
